statement_id,wiki,page_id,revid,language,segment_type,deontic_type,governance_class,source_quote,statement_orig,statement_en,note,location,salience
nlwiki:75512:1,nlwiki,75512,71301286,nl,rule,recommendation,user-admin,Het zoeken naar consensus verdient steeds de grote voorkeur,Het zoeken naar consensus verdient steeds de voorkeur boven stemmen.,Seeking consensus is always preferred over voting.,principle/soft norm,lead,low
nlwiki:75512:2,nlwiki,75512,71301286,nl,rule,recommendation,user-admin,Alleen in gevallen waarin geen consensus lijkt te ontstaan kan het zinnig zijn om een stemming te houden,Een stemming is alleen zinnig wanneer er geen consensus lijkt te ontstaan.,A vote is only sensible when no consensus seems to emerge.,condition on when to vote,lead,low
nlwiki:75512:3,nlwiki,75512,71301286,nl,procedure,recommendation,user-admin,Als gewoon overleg tot te veel welles/nietes leidt is een niet-bindende opiniepeiling ... een goede eerste keuze,Als overleg vastloopt is een niet-bindende opiniepeiling op de relevante overlegpagina de aangewezen eerste stap.,"If discussion stalls, a non-binding opinion poll on the relevant talk page is the appropriate first step.",,Art.2 voorbereiding,normal
nlwiki:75512:4,nlwiki,75512,71301286,nl,procedure,procedure,user-admin,Ter voorbereiding wordt in het Stemlokaal een Stemvoorstel opgezet met de bedoeling daar later over te stemmen,Een stemming wordt voorbereid via een Stemvoorstel in het Stemlokaal waarover later wordt gestemd.,A vote is prepared via a Stemvoorstel in the Stemlokaal to be voted on later.,not voting immediately,Art.2 voorbereiding,normal
nlwiki:75512:5,nlwiki,75512,71301286,nl,procedure,definition,user-admin,Degene die de stemming initieert is daarmee stemcoordinator,Wie een stemming initieert is daarmee de stemcoordinator.,Whoever initiates a vote thereby becomes the vote coordinator.,,Art.2 voorbereiding,normal
nlwiki:75512:6,nlwiki,75512,71301286,nl,procedure,recommendation,user-admin,Het komt de duidelijkheid ten goede als de keuzemogelijkheden eenvoudig zijn en bij voorkeur een ja/nee-karakter hebben,De keuzemogelijkheden zijn bij voorkeur eenvoudig en hebben een ja/nee-karakter.,"Choice options should preferably be simple, with a yes/no character.",,Art.2 voorbereiding,normal
nlwiki:75512:7,nlwiki,75512,71301286,nl,procedure,prohibition,user-admin,Als de stemming eenmaal begonnen is mogen er geen nieuwe keuzemogelijkheden meer bijgemaakt worden,Zodra de stemming is begonnen mogen er geen nieuwe keuzemogelijkheden meer worden toegevoegd.,"Once the vote has begun, no new choice options may be added.",== SG:10,Art.2 voorbereiding,normal
nlwiki:75512:8,nlwiki,75512,71301286,nl,procedure,obligation,user-admin,Het stemvoorstel wordt van tevoren aangekondigd in de Mededelingen en De kroeg,Het stemvoorstel wordt vooraf aangekondigd in de Mededelingen en in De kroeg.,The voting proposal is announced in advance in Mededelingen and De kroeg.,,Art.2 voorbereiding,normal
nlwiki:75512:9,nlwiki,75512,71301286,nl,procedure,procedure,user-admin,"Een voorbereidingstijd van een week geldt als normaal, ... met een minimum van een etmaal",De voorbereidingstijd is normaal een week en bij spoed minimaal een etmaal.,"Preparation time is normally one week, and at minimum 24 hours for urgent matters.",two thresholds,Art.2 voorbereiding,normal
nlwiki:75512:10,nlwiki,75512,71301286,nl,procedure,obligation,user-admin,"Indien de stemming over specifieke gebruiker(s) gaat, voeg dan een noindex-sjabloon toe bovenaan de stempagina en bijbehorende overlegpagina","Als een stemming over specifieke gebruikers gaat, wordt een noindex-sjabloon bovenaan de stempagina en de overlegpagina geplaatst.","If a vote concerns specific users, a noindex template is placed atop the vote page and its talk page.",,Art.2 voorbereiding,normal
