statement_id,wiki,page,segment_type,prominence,deontic_type,governance_class,source_quote,statement_orig,statement_en,note
enwiki:rfc:1,enwiki,Wikipedia:Requests for comment,meta,context,definition,user-admin,"It is not a Wikipedia policy or guideline; rather, its purpose is to explain certain aspects of Wikipedia's norms or practices","This page is an information page, not a policy or guideline; it explains aspects of Wikipedia's norms or practices and may reflect varying levels of consensus.","This page is an information page, not a policy or guideline; it explains aspects of Wikipedia's norms or practices and may reflect varying levels of consensus.",self-classification / status disclaimer
enwiki:rfc:2,enwiki,Wikipedia:Requests for comment,summary,context,definition,user-admin,A request for comment (RfC) is a way to ask the Wikipedia community for input on an issue,A request for comment (RfC) is a mechanism for asking the Wikipedia community for input on an issue.,A request for comment (RfC) is a mechanism for asking the Wikipedia community for input on an issue.,
enwiki:rfc:3,enwiki,Wikipedia:Requests for comment,summary,context,scope,content,"they may relate to article content pages, editorial disputes; changes to policies, guidelines, or procedures; or other topics","RfCs may address article content, editorial disputes, changes to policies/guidelines/procedures, or other topics.","RfCs may address article content, editorial disputes, changes to policies/guidelines/procedures, or other topics.","lead, down-weighted"
enwiki:rfc:4,enwiki,Wikipedia:Requests for comment,summary,supporting,principle,user-admin,the results of a broadly-attended RfC are therefore the opposite of WP:LOCALCONSENSUS,"A broadly-attended RfC produces community consensus, which is the opposite of local consensus.","A broadly-attended RfC produces community consensus, which is the opposite of local consensus.",
enwiki:rfc:5,enwiki,Wikipedia:Requests for comment,summary,supporting,principle,user-admin,an RfC can act as a dispute resolution,"Because Wikipedia decides by consensus, an RfC can serve as a form of dispute resolution.","Because Wikipedia decides by consensus, an RfC can serve as a form of dispute resolution.",
enwiki:rfc:6,enwiki,Wikipedia:Requests for comment,procedure,supporting,condition,user-admin,Comments are provided and discussed via an ordinary Wikipedia discussion that follows the normal talk page guidelines and procedures,RfC comments are provided and discussed as an ordinary talk-page discussion following normal talk page guidelines and procedures.,RfC comments are provided and discussed as an ordinary talk-page discussion following normal talk page guidelines and procedures.,
enwiki:rfc:7,enwiki,Wikipedia:Requests for comment,principle,supporting,principle,user-admin,"Because consensus can change, no consensus is permanently binding, including a consensus formed in a discussion advertised via RfC","No consensus is permanently binding, including one formed via an RfC, because consensus can change.","No consensus is permanently binding, including one formed via an RfC, because consensus can change.",
enwiki:rfc:8,enwiki,Wikipedia:Requests for comment,meta,context,principle,user-admin,"""RFCBEFORE"" is good advice, but it's not required",Following RFCBEFORE (trying alternatives before an RfC) is recommended advice but is not required.,Following RFCBEFORE (trying alternatives before an RfC) is recommended advice but is not required.,
enwiki:rfc:9,enwiki,Wikipedia:Requests for comment,rule,supporting,obligation,user-user,you should try first to resolve your issues other ways,"Before considering an RfC to resolve an editor dispute, you should first try to resolve the issue by other means.","Before considering an RfC to resolve an editor dispute, you should first try to resolve the issue by other means.",
enwiki:rfc:10,enwiki,Wikipedia:Requests for comment,procedure,supporting,condition,user-user,"If you can reach a consensus or have your questions answered through discussion, then there is no need to start an RfC",An RfC is unnecessary if consensus can be reached or questions answered through ordinary discussion.,An RfC is unnecessary if consensus can be reached or questions answered through ordinary discussion.,
enwiki:rfc:11,enwiki,Wikipedia:Requests for comment,rule,supporting,prohibition,content,"For reporting usernames that violate the username policy, see Wikipedia:Requests for comment/User names","Username-policy violations should be reported at the username venue, not via the general RfC process.","Username-policy violations should be reported at the username venue, not via the general RfC process.",routing / negative scope
enwiki:rfc:12,enwiki,Wikipedia:Requests for comment,rule,central,prohibition,user-user,The use of requests for comment on user conduct has been discontinued,The RfC process must not be used for user-conduct disputes; RfC/User conduct has been discontinued.,The RfC process must not be used for user-conduct disputes; RfC/User conduct has been discontinued.,
