statement_id,wiki,page,segment_type,prominence,deontic_type,governance_class,source_quote,statement_orig,statement_en,note
dewiki:npov:1,dewiki,Wikipedia:Neutraler Standpunkt,summary,context,principle,content,Der neutrale Standpunkt … ist eines der vier unveränderlichen Grundprinzipien von Wikipedia,Der neutrale Standpunkt ist eines der vier unveränderlichen Grundprinzipien von Wikipedia.,The neutral point of view is one of the four unchangeable founding principles of Wikipedia.,lead
dewiki:npov:2,dewiki,Wikipedia:Neutraler Standpunkt,summary,context,principle,content,"Er soll … dazu dienen, Themen sachlich darzustellen und persönliche Standpunkte aus Wikipedia-Artikeln herauszuhalten","Der neutrale Standpunkt soll dazu dienen, Themen sachlich darzustellen und persönliche Standpunkte aus Artikeln herauszuhalten.",The neutral point of view serves to present topics factually and keep personal viewpoints out of articles.,lead
dewiki:npov:3,dewiki,Wikipedia:Neutraler Standpunkt,summary,context,obligation,content,"werden Artikel quellenbasiert, im Gesamten ausgewogen und möglichst objektiv verfasst","Artikel sind quellenbasiert, im Gesamten ausgewogen und möglichst objektiv zu verfassen.","Articles are to be written source-based, balanced as a whole, and as objectively as possible.",lead
dewiki:npov:4,dewiki,Wikipedia:Neutraler Standpunkt,summary,context,eligibility,content,Die Einhaltung dieses Prinzips ist eine Voraussetzung eines guten Wikipedia-Artikels,Die Einhaltung des Neutralitätsprinzips ist eine Voraussetzung eines guten Wikipedia-Artikels.,Adherence to the neutrality principle is a prerequisite for a good Wikipedia article.,lead
dewiki:npov:5,dewiki,Wikipedia:Neutraler Standpunkt,rule,central,definition,content,Ein neutraler Standpunkt beschreibt eine Thematik weder mit abwertendem noch mit sympathisierendem Unterton,Ein neutraler Standpunkt beschreibt eine Thematik weder mit abwertendem noch mit sympathisierendem Unterton.,A neutral point of view describes a topic with neither a disparaging nor a sympathetic undertone.,
dewiki:npov:6,dewiki,Wikipedia:Neutraler Standpunkt,rule,central,obligation,content,dass sie aus einer redaktionell neutralen Sicht dargestellt werden müssen,Wertungen müssen aus einer redaktionell neutralen Sicht dargestellt werden.,Evaluations must be presented from an editorially neutral perspective.,
dewiki:npov:7,dewiki,Wikipedia:Neutraler Standpunkt,rule,central,obligation,content,"Ein Artikel und seine Unterartikel sollen alle unterschiedlichen Standpunkte, Meinungen und Streitigkeiten eines Themas klar beschreiben und charakterisieren, ohne einzelne davon zu befürworten, zu vertreten oder abzulehnen","Ein Artikel soll alle unterschiedlichen Standpunkte eines Themas klar beschreiben und charakterisieren, ohne einzelne zu befürworten, zu vertreten oder abzulehnen.","An article shall clearly describe and characterize all differing viewpoints of a topic, without endorsing, representing, or rejecting any of them.",
dewiki:npov:8,dewiki,Wikipedia:Neutraler Standpunkt,rule,supporting,obligation,content,"Es soll so gut wie möglich aufgezeigt werden, wer welche Meinung vertritt, wieso er sie vertritt und wie verbreitet sie ist","Es soll aufgezeigt werden, wer welche Meinung vertritt, wieso er sie vertritt und wie verbreitet sie ist.","It shall be shown, as far as possible, who holds which opinion, why they hold it, and how widespread it is.",
dewiki:npov:9,dewiki,Wikipedia:Neutraler Standpunkt,rule,supporting,permission,content,"Dabei dürfen auch Sichtweisen wiedergegeben werden, die eine kritische Haltung zu anderen Sichtweisen einnehmen","Es dürfen auch Sichtweisen wiedergegeben werden, die eine kritische Haltung zu anderen Sichtweisen einnehmen.",Viewpoints that take a critical stance toward other viewpoints may also be reproduced.,
dewiki:npov:10,dewiki,Wikipedia:Neutraler Standpunkt,rule,supporting,obligation,content,"soll die Darstellung an sich neutral bleiben und diese Kritik lediglich beschreiben, nicht üben","Die Darstellung soll neutral bleiben und Kritik lediglich beschreiben, nicht selbst üben.","The presentation shall remain neutral and merely describe criticism, not exercise it.",
dewiki:npov:11,dewiki,Wikipedia:Neutraler Standpunkt,rule,central,obligation,content,Alle dargestellten Standpunkte müssen sich zudem einer zuverlässigen Quelle zuordnen lassen,Alle dargestellten Standpunkte müssen sich einer zuverlässigen Quelle zuordnen lassen.,All presented viewpoints must be attributable to a reliable source.,
dewiki:npov:12,dewiki,Wikipedia:Neutraler Standpunkt,rule,supporting,obligation,content,"Sie setzt natürlich voraus, dass die Ansichten der Mehrheit angemessen dargestellt werden",Die Ansichten der Mehrheit müssen angemessen dargestellt werden.,The views of the majority must be presented appropriately.,
