src_id,de_statement,rank,cand_id,cand_score,cand_statement
dewiki:npov:1,The neutral point of view is one of the four unchangeable founding principles of Wikipedia.,2,enwiki:npov:99,0.649,"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view."
dewiki:npov:1,The neutral point of view is one of the four unchangeable founding principles of Wikipedia.,3,enwiki:npov:57,0.621,"A viewpoint held by an extremely small minority does not belong on Wikipedia regardless of its truth or provability, except perhaps in an ancillary article."
dewiki:npov:2,The neutral point of view serves to present topics factually and keep personal viewpoints out of articles.,2,enwiki:npov:42,0.679,"Neutrality requires that mainspace articles fairly represent all significant viewpoints published by reliable sources, in proportion to each viewpoint's prominence in those sources."
dewiki:npov:2,The neutral point of view serves to present topics factually and keep personal viewpoints out of articles.,3,enwiki:npov:24,0.671,A neutral point of view neither sympathizes with nor disparages its subject or what reliable sources say about it.
dewiki:npov:3,"Articles are to be written source-based, balanced as a whole, and as objectively as possible.",2,enwiki:npov:71,0.625,"When writing articles, making some assumptions may be necessary to get through a topic."
dewiki:npov:3,"Articles are to be written source-based, balanced as a whole, and as objectively as possible.",3,enwiki:npov:77,0.624,A biased source need not be used; excluding the material altogether may serve an article better.
dewiki:npov:4,Adherence to the neutrality principle is a prerequisite for a good Wikipedia article.,2,enwiki:npov:10,0.644,"Achieving neutrality requires carefully and critically analyzing a variety of reliable sources and conveying their information to the reader fairly, proportionately, and as far as possible without editorial bias."
dewiki:npov:4,Adherence to the neutrality principle is a prerequisite for a good Wikipedia article.,3,enwiki:npov:99,0.630,"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view."
dewiki:npov:5,A neutral point of view describes a topic with neither a disparaging nor a sympathetic undertone.,2,enwiki:npov:5,0.666,"Writing from a neutral point of view means representing fairly, proportionately, and as far as possible without editorial bias all the significant views published by reliable sources on a topic."
dewiki:npov:5,A neutral point of view describes a topic with neither a disparaging nor a sympathetic undertone.,3,enwiki:npov:61,0.560,Neutrality assigns weight to viewpoints in proportion to their prominence in reliable sources.
dewiki:npov:6,Evaluations must be presented from an editorially neutral perspective.,2,enwiki:npov:5,0.578,"Writing from a neutral point of view means representing fairly, proportionately, and as far as possible without editorial bias all the significant views published by reliable sources on a topic."
dewiki:npov:6,Evaluations must be presented from an editorially neutral perspective.,3,enwiki:npov:28,0.556,"When editorial bias toward one point of view can be detected, the article needs to be fixed."
dewiki:npov:7,"An article shall clearly describe and characterize all differing viewpoints of a topic, without endorsing, representing, or rejecting any of them.",2,enwiki:npov:48,0.648,In a minority-viewpoint article it should always be clear which parts of the text describe the minority view.
dewiki:npov:7,"An article shall clearly describe and characterize all differing viewpoints of a topic, without endorsing, representing, or rejecting any of them.",3,enwiki:npov:46,0.597,"In articles specifically about a minority viewpoint, that view may receive more attention and space."
dewiki:npov:8,"It shall be shown, as far as possible, who holds which opinion, why they hold it, and how widespread it is.",2,enwiki:npov:16,0.509,"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views."
dewiki:npov:8,"It shall be shown, as far as possible, who holds which opinion, why they hold it, and how widespread it is.",3,enwiki:npov:30,0.495,Editors should indicate the relative prominence of opposing views.
dewiki:npov:9,Viewpoints that take a critical stance toward other viewpoints may also be reproduced.,2,enwiki:npov:47,0.590,Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.
dewiki:npov:9,Viewpoints that take a critical stance toward other viewpoints may also be reproduced.,3,enwiki:npov:30,0.581,Editors should indicate the relative prominence of opposing views.
dewiki:npov:10,"The presentation shall remain neutral and merely describe criticism, not exercise it.",2,enwiki:npov:37,0.493,"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral."
dewiki:npov:10,"The presentation shall remain neutral and merely describe criticism, not exercise it.",3,enwiki:npov:22,0.475,A passage stating an uncontested fact should not be worded in a way that makes it appear to be contested.
dewiki:npov:11,All presented viewpoints must be attributable to a reliable source.,2,enwiki:npov:41,0.553,Editors should watch for structural or stylistic aspects that make it difficult for a reader to fairly assess the credibility of all relevant viewpoints.
dewiki:npov:11,All presented viewpoints must be attributable to a reliable source.,3,enwiki:npov:31,0.546,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.
dewiki:npov:12,The views of the majority must be presented appropriately.,2,enwiki:npov:50,0.632,Controversies regarding aspects of a minority view should be clearly identified and explained.
dewiki:npov:12,The views of the majority must be presented appropriately.,3,enwiki:npov:31,0.631,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.
dewiki:npov:13,"The opinions of minorities must be given a voice, provided a reliable source can be found for them.",2,enwiki:npov:16,0.522,"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views."
dewiki:npov:13,"The opinions of minorities must be given a voice, provided a reliable source can be found for them.",3,enwiki:npov:48,0.520,In a minority-viewpoint article it should always be clear which parts of the text describe the minority view.
dewiki:npov:14,The description shall have a neutral tone.,2,enwiki:npov:98,0.446,A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.
dewiki:npov:14,The description shall have a neutral tone.,3,enwiki:npov:26,0.438,Editors should present opinions and conflicting findings in a disinterested tone.
dewiki:npov:15,The share of each viewpoint in the overall extent shall reflect its respective relevance.,2,enwiki:npov:47,0.576,Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.
dewiki:npov:15,The share of each viewpoint in the overall extent shall reflect its respective relevance.,3,enwiki:npov:55,0.547,"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts."
dewiki:npov:16,Text should not be removed merely because it presents a dissenting opinion.,2,enwiki:npov:105,0.570,Biased statements of opinion may be presented only with in-text attribution.
dewiki:npov:16,Text should not be removed merely because it presents a dissenting opinion.,3,enwiki:npov:19,0.569,Editors should avoid stating facts as opinions.
dewiki:npov:17,"Text should, where applicable, be shortened or moved to a sub-article if an opinion would otherwise be given disproportionate weight.",2,enwiki:npov:43,0.597,Articles should not give minority views or aspects as much or as detailed a description as more widely held views.
dewiki:npov:17,"Text should, where applicable, be shortened or moved to a sub-article if an opinion would otherwise be given disproportionate weight.",3,enwiki:npov:89,0.595,"All facts and significant points of view on a subject should be treated in one article, except in the case of a legitimate spinoff sub-article."
dewiki:npov:18,Neutrality requires that viewpoints be presented in an unbiased manner.,2,enwiki:npov:42,0.778,"Neutrality requires that mainspace articles fairly represent all significant viewpoints published by reliable sources, in proportion to each viewpoint's prominence in those sources."
dewiki:npov:18,Neutrality requires that viewpoints be presented in an unbiased manner.,3,enwiki:npov:10,0.763,"Achieving neutrality requires carefully and critically analyzing a variety of reliable sources and conveying their information to the reader fairly, proportionately, and as far as possible without editorial bias."
dewiki:npov:19,"It shall be made clear that disagreements exist, rather than pretending the sources are unbiased.",2,enwiki:npov:18,0.598,"When reliable sources make conflicting assertions about a matter, treat those assertions as opinions rather than facts and do not present them as direct statements in Wikipedia's voice."
dewiki:npov:19,"It shall be made clear that disagreements exist, rather than pretending the sources are unbiased.",3,enwiki:npov:75,0.591,"Biased sources are not inherently disallowed on the basis of bias alone, though other aspects of a source may make it invalid."
dewiki:npov:20,The factual basis of articles fundamentally derives from published information sources.,2,enwiki:npov:18,0.547,"When reliable sources make conflicting assertions about a matter, treat those assertions as opinions rather than facts and do not present them as direct statements in Wikipedia's voice."
dewiki:npov:20,The factual basis of articles fundamentally derives from published information sources.,3,enwiki:npov:20,0.547,Uncontested and uncontroversial factual assertions made by reliable sources should normally be stated directly in Wikipedia's voice.
dewiki:npov:21,Presentations or viewpoints for which no reliable source exists constitute unwanted original research.,2,enwiki:npov:32,0.505,Editors should generally not remove sourced information solely because it seems biased.
dewiki:npov:21,Presentations or viewpoints for which no reliable source exists constitute unwanted original research.,3,enwiki:npov:77,0.495,A biased source need not be used; excluding the material altogether may serve an article better.
dewiki:npov:22,A balanced article describes the subject of the entry and subsequently the differing viewpoints connected to it.,2,enwiki:npov:47,0.645,Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.
dewiki:npov:22,A balanced article describes the subject of the entry and subsequently the differing viewpoints connected to it.,3,enwiki:npov:48,0.643,In a minority-viewpoint article it should always be clear which parts of the text describe the minority view.
dewiki:npov:23,Several different or contradictory viewpoints may be described in one article.,2,enwiki:npov:43,0.584,Articles should not give minority views or aspects as much or as detailed a description as more widely held views.
dewiki:npov:23,Several different or contradictory viewpoints may be described in one article.,3,enwiki:npov:47,0.576,Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.
dewiki:npov:24,The acceptance of the various presentations shall be clearly indicated.,2,enwiki:npov:72,0.313,"An assumption need not be discussed on a page if it is best discussed in depth on another page, though a brief unobtrusive pointer or wikilink may be appropriate."
dewiki:npov:24,The acceptance of the various presentations shall be clearly indicated.,3,enwiki:npov:101,0.311,"It is appropriate to note how an artist or work has been received by prominent experts, critics, and the general public."
dewiki:npov:25,Appropriate presentation of the subject and arguments takes precedence over the aim of giving competing viewpoints equal extent.,2,enwiki:npov:47,0.539,Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.
dewiki:npov:25,Appropriate presentation of the subject and arguments takes precedence over the aim of giving competing viewpoints equal extent.,3,enwiki:npov:39,0.530,Editors should fold debates into the narrative rather than isolating them into opposing sections.
dewiki:npov:26,"Ideally, all known viewpoints currently held by relevant social groups, organizations, and authoritative scholars of a field are to be mentioned.",2,enwiki:npov:82,0.557,An explanation of how experts in the relevant field have reacted to fringe or pseudoscientific views should be prominently included.
dewiki:npov:26,"Ideally, all known viewpoints currently held by relevant social groups, organizations, and authoritative scholars of a field are to be mentioned.",3,enwiki:npov:56,0.546,"If a viewpoint is held by a significant minority, it should be easy to name prominent adherents."
dewiki:npov:27,Scientific findings must not be relativized by the mere juxtaposition of different opinions.,2,enwiki:npov:79,0.592,"Pseudoscience should not obfuscate the description of mainstream scientific views, even when it is significant to an article."
dewiki:npov:27,Scientific findings must not be relativized by the mere juxtaposition of different opinions.,3,enwiki:npov:64,0.557,"Minority views, fringe theories, and extraordinary claims need not be presented alongside mainstream scholarship as if they were of equal validity."
dewiki:npov:28,"An encyclopedic article is to be written in a consistently factual-neutral, i.e. non-emotionally-colored, tone.",2,enwiki:npov:102,0.575,An article should not state an aesthetic judgment (e.g. that Shakespeare is the greatest author) in Wikipedia's voice.
dewiki:npov:28,"An encyclopedic article is to be written in a consistently factual-neutral, i.e. non-emotionally-colored, tone.",3,enwiki:npov:99,0.558,"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view."
