src_id,src_statement_en,proposed_label,best_tgt_id,best_score,best_tgt_statement_en,cand2_id,cand2_score,cand3_id,cand3_score,confirmed?
dewiki:npov:1,The neutral point of view is one of the four unchangeable founding principles of Wikipedia.,equivalent,enwiki:npov:4,0.716,All encyclopedic content on Wikipedia must be written from a neutral point of view.,enwiki:npov:99,0.649,enwiki:npov:57,0.621,
dewiki:npov:2,The neutral point of view serves to present topics factually and keep personal viewpoints out of articles.,equivalent,enwiki:npov:5,0.764,"Writing from a neutral point of view means representing fairly, proportionately, and as far as possible without editorial bias all the significant views published by reliable sources on a topic.",enwiki:npov:42,0.679,enwiki:npov:24,0.671,
dewiki:npov:3,"Articles are to be written source-based, balanced as a whole, and as objectively as possible.",review,enwiki:npov:73,0.632,"In principle, all articles should be based on reliable, independent, secondary published sources with a reputation for fact-checking and accuracy.",enwiki:npov:71,0.625,enwiki:npov:77,0.624,
dewiki:npov:4,Adherence to the neutrality principle is a prerequisite for a good Wikipedia article.,review,enwiki:npov:42,0.671,"Neutrality requires that mainspace articles fairly represent all significant viewpoints published by reliable sources, in proportion to each viewpoint's prominence in those sources.",enwiki:npov:10,0.644,enwiki:npov:99,0.630,
dewiki:npov:5,A neutral point of view describes a topic with neither a disparaging nor a sympathetic undertone.,equivalent,enwiki:npov:24,0.779,A neutral point of view neither sympathizes with nor disparages its subject or what reliable sources say about it.,enwiki:npov:5,0.666,enwiki:npov:61,0.560,
dewiki:npov:6,Evaluations must be presented from an editorially neutral perspective.,review,enwiki:npov:10,0.579,"Achieving neutrality requires carefully and critically analyzing a variety of reliable sources and conveying their information to the reader fairly, proportionately, and as far as possible without editorial bias.",enwiki:npov:5,0.578,enwiki:npov:28,0.556,
dewiki:npov:7,"An article shall clearly describe and characterize all differing viewpoints of a topic, without endorsing, representing, or rejecting any of them.",review,enwiki:npov:47,0.670,Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.,enwiki:npov:48,0.648,enwiki:npov:46,0.597,
dewiki:npov:8,"It shall be shown, as far as possible, who holds which opinion, why they hold it, and how widespread it is.",review,enwiki:npov:56,0.537,"If a viewpoint is held by a significant minority, it should be easy to name prominent adherents.",enwiki:npov:16,0.509,enwiki:npov:30,0.495,
dewiki:npov:9,Viewpoints that take a critical stance toward other viewpoints may also be reproduced.,review,enwiki:npov:61,0.592,Neutrality assigns weight to viewpoints in proportion to their prominence in reliable sources.,enwiki:npov:47,0.590,enwiki:npov:30,0.581,
dewiki:npov:10,"The presentation shall remain neutral and merely describe criticism, not exercise it.",review,enwiki:npov:98,0.545,A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.,enwiki:npov:37,0.493,enwiki:npov:22,0.475,
dewiki:npov:11,All presented viewpoints must be attributable to a reliable source.,review,enwiki:npov:55,0.602,"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts.",enwiki:npov:41,0.553,enwiki:npov:31,0.546,
dewiki:npov:12,The views of the majority must be presented appropriately.,equivalent,enwiki:npov:49,0.732,The majority view should be explained sufficiently for the reader to understand how the minority view differs from it.,enwiki:npov:50,0.632,enwiki:npov:31,0.631,
dewiki:npov:13,"The opinions of minorities must be given a voice, provided a reliable source can be found for them.",review,enwiki:npov:50,0.534,Controversies regarding aspects of a minority view should be clearly identified and explained.,enwiki:npov:16,0.522,enwiki:npov:48,0.520,
dewiki:npov:14,The description shall have a neutral tone.,review,enwiki:npov:33,0.488,"Instead of removing biased-seeming sourced material, editors should try to rewrite the passage or section to achieve a more neutral tone.",enwiki:npov:98,0.446,enwiki:npov:26,0.438,
dewiki:npov:15,The share of each viewpoint in the overall extent shall reflect its respective relevance.,review,enwiki:npov:46,0.580,"In articles specifically about a minority viewpoint, that view may receive more attention and space.",enwiki:npov:47,0.576,enwiki:npov:55,0.547,
dewiki:npov:16,Text should not be removed merely because it presents a dissenting opinion.,review,enwiki:npov:33,0.594,"Instead of removing biased-seeming sourced material, editors should try to rewrite the passage or section to achieve a more neutral tone.",enwiki:npov:105,0.570,enwiki:npov:19,0.569,
dewiki:npov:17,"Text should, where applicable, be shortened or moved to a sub-article if an opinion would otherwise be given disproportionate weight.",review,enwiki:npov:67,0.637,An article should not give undue weight to minor aspects of its subject but should treat each aspect with weight proportional to its treatment in reliable published material.,enwiki:npov:43,0.597,enwiki:npov:89,0.595,
dewiki:npov:18,Neutrality requires that viewpoints be presented in an unbiased manner.,equivalent,enwiki:npov:61,0.823,Neutrality assigns weight to viewpoints in proportion to their prominence in reliable sources.,enwiki:npov:42,0.778,enwiki:npov:10,0.763,
dewiki:npov:19,"It shall be made clear that disagreements exist, rather than pretending the sources are unbiased.",review,enwiki:npov:76,0.620,"Neutrality should be achieved by balancing source bias according to the weight of opinion in reliable sources, not by excluding sources that do not conform to the editor's point of view.",enwiki:npov:18,0.598,enwiki:npov:75,0.591,
dewiki:npov:20,The factual basis of articles fundamentally derives from published information sources.,review,enwiki:npov:73,0.657,"In principle, all articles should be based on reliable, independent, secondary published sources with a reputation for fact-checking and accuracy.",enwiki:npov:18,0.547,enwiki:npov:20,0.547,
dewiki:npov:21,Presentations or viewpoints for which no reliable source exists constitute unwanted original research.,review,enwiki:npov:64,0.506,"Minority views, fringe theories, and extraordinary claims need not be presented alongside mainstream scholarship as if they were of equal validity.",enwiki:npov:32,0.505,enwiki:npov:77,0.495,
dewiki:npov:22,A balanced article describes the subject of the entry and subsequently the differing viewpoints connected to it.,review,enwiki:npov:63,0.658,Working for balance involves describing opposing views clearly and drawing on secondary or tertiary sources that describe the disagreement from a disinterested viewpoint.,enwiki:npov:47,0.645,enwiki:npov:48,0.643,
dewiki:npov:23,Several different or contradictory viewpoints may be described in one article.,review,enwiki:npov:48,0.603,In a minority-viewpoint article it should always be clear which parts of the text describe the minority view.,enwiki:npov:43,0.584,enwiki:npov:47,0.576,
dewiki:npov:24,The acceptance of the various presentations shall be clearly indicated.,none,enwiki:npov:37,0.381,"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",enwiki:npov:72,0.313,enwiki:npov:101,0.311,
dewiki:npov:25,Appropriate presentation of the subject and arguments takes precedence over the aim of giving competing viewpoints equal extent.,review,enwiki:npov:98,0.618,A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.,enwiki:npov:47,0.539,enwiki:npov:39,0.530,
dewiki:npov:26,"Ideally, all known viewpoints currently held by relevant social groups, organizations, and authoritative scholars of a field are to be mentioned.",review,enwiki:npov:55,0.659,"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts.",enwiki:npov:82,0.557,enwiki:npov:56,0.546,
dewiki:npov:27,Scientific findings must not be relativized by the mere juxtaposition of different opinions.,review,enwiki:npov:78,0.624,"When covering pseudoscientific topics, editors should not describe pseudoscience and scientific consensus as equal viewpoints.",enwiki:npov:79,0.592,enwiki:npov:64,0.557,
dewiki:npov:28,"An encyclopedic article is to be written in a consistently factual-neutral, i.e. non-emotionally-colored, tone.",review,enwiki:npov:4,0.677,All encyclopedic content on Wikipedia must be written from a neutral point of view.,enwiki:npov:102,0.575,enwiki:npov:99,0.558,
dewiki:npov:29,An encyclopedic article refrains from taking a position for or against viewpoints.,review,enwiki:npov:99,0.604,"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view.",enwiki:npov:57,0.594,enwiki:npov:43,0.593,
dewiki:npov:30,"Viewpoints must be presented neither with undue emphasis, nor apodictically, nor with evasive phrasing.",review,enwiki:npov:24,0.613,A neutral point of view neither sympathizes with nor disparages its subject or what reliable sources say about it.,enwiki:npov:52,0.552,enwiki:npov:31,0.545,
dewiki:npov:31,Personal interests must never determine the content of articles.,review,enwiki:npov:43,0.554,Articles should not give minority views or aspects as much or as detailed a description as more widely held views.,enwiki:npov:12,0.542,enwiki:npov:99,0.526,
dewiki:npov:32,"Authors shall always act value-free and without partiality (""sine ira et studio"").",review,enwiki:npov:27,0.463,Editors must not editorialize.,enwiki:npov:13,0.440,enwiki:npov:32,0.403,
dewiki:npov:33,Obvious facts may be presented as such in articles.,review,enwiki:npov:89,0.590,"All facts and significant points of view on a subject should be treated in one article, except in the case of a legitimate spinoff sub-article.",enwiki:npov:2,0.589,enwiki:npov:106,0.571,
dewiki:npov:34,Value judgments must in every case be separated from generally accepted facts and marked as such.,review,enwiki:npov:98,0.470,A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.,enwiki:npov:31,0.466,enwiki:npov:62,0.462,
dewiki:npov:35,Value judgments must be strictly attributed to the person making them.,review,enwiki:npov:107,0.485,Opinions presented with attribution must still be verifiable and appropriately cited.,enwiki:npov:62,0.484,enwiki:npov:75,0.460,
dewiki:npov:36,Wikipedia authors shall never make value judgments themselves.,review,enwiki:npov:99,0.660,"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view.",enwiki:npov:12,0.581,enwiki:npov:51,0.566,
dewiki:npov:37,Especially for controversial topics it is important to attribute viewpoints.,review,enwiki:npov:47,0.604,Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.,enwiki:npov:55,0.589,enwiki:npov:30,0.587,
dewiki:npov:38,Particularly pointed opinions may be quoted verbatim.,review,enwiki:npov:16,0.602,"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views.",enwiki:npov:55,0.565,enwiki:npov:105,0.548,
dewiki:npov:39,Opinions are to be reproduced exactly and placed into their respective context.,review,enwiki:npov:107,0.569,Opinions presented with attribution must still be verifiable and appropriately cited.,enwiki:npov:16,0.568,enwiki:npov:19,0.534,
dewiki:npov:40,All authoritative viewpoints must be represented; no hidden value judgment through selection or weighting of individual viewpoints.,review,enwiki:npov:31,0.596,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,enwiki:npov:61,0.565,enwiki:npov:55,0.563,
dewiki:npov:41,Significant evaluations must be presented in a balanced manner.,review,enwiki:npov:31,0.505,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,enwiki:npov:62,0.503,enwiki:npov:63,0.472,
dewiki:npov:42,No (implicit) evaluation may be made through word choice.,none,enwiki:npov:25,0.414,The preference for nonjudgmental language must sometimes be balanced against clarity.,enwiki:npov:86,0.367,enwiki:npov:105,0.362,
dewiki:npov:43,"Authors should not, in the style of an essay, argumentatively lay out their own viewpoint.",review,enwiki:npov:41,0.532,Editors should watch for structural or stylistic aspects that make it difficult for a reader to fairly assess the credibility of all relevant viewpoints.,enwiki:npov:100,0.532,enwiki:npov:19,0.513,
dewiki:npov:44,Separating arguments into pro/con lists is not a suitable form of presentation.,none,enwiki:npov:100,0.401,"Editors should avoid quoting directly from participants in a heated dispute and instead summarize and present the arguments in an impartial, formal tone.",enwiki:npov:37,0.370,enwiki:npov:98,0.364,
dewiki:npov:45,"Self-promotion by authorities, institutions, parties, companies, persons, etc. aimed merely at external image is expressly unwanted.",none,enwiki:npov:12,0.325,"The aim of a Wikipedia article is to inform, not to influence.",enwiki:npov:13,0.322,enwiki:npov:30,0.290,
dewiki:npov:46,"Likewise unwanted are presentations aimed at damaging third parties' reputations through false claims, rumors, speculation, or distorting quote selection.",review,enwiki:npov:112,0.506,"Editors should strive to eliminate expressions that are flattering, disparaging, vague, clichéd, or that endorse a particular point of view, unless part of a quote from a noteworthy source.",enwiki:npov:32,0.459,enwiki:npov:100,0.456,
dewiki:npov:47,Such behavior can be sanctioned with a block.,none,enwiki:npov:37,0.356,"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",enwiki:npov:36,0.345,enwiki:npov:8,0.332,
dewiki:npov:48,A dissenting stance held by only a few must not be presented at the same extent as established positions.,review,enwiki:npov:52,0.563,Views held by a tiny minority should not be represented except in articles devoted to those views.,enwiki:npov:31,0.512,enwiki:npov:64,0.500,
dewiki:npov:49,"When minority opinions have historical weight through frequent public discussion, they are to be mentioned to an appropriate extent.",review,enwiki:npov:50,0.639,Controversies regarding aspects of a minority view should be clearly identified and explained.,enwiki:npov:56,0.613,enwiki:npov:16,0.611,
dewiki:npov:50,Even a single word can destroy factuality and turn a sentence into a tendentious statement.,review,enwiki:npov:111,0.524,"Editors should try to state facts simply, without using loaded words that imply doubt.",enwiki:npov:17,0.493,enwiki:npov:108,0.490,
dewiki:npov:51,"Relative words like ""well-known"", ""famous"", ""significant"" should be used comprehensibly and purposefully, not promotionally or as filler.",review,enwiki:npov:92,0.477,A name widely used in reliable sources and likely to be well recognized by readers may be used even if some regard it as biased.,enwiki:npov:16,0.449,enwiki:npov:101,0.436,
dewiki:npov:52,"The article should make clear for what and among which audience the subject is well-known, famous, significant, etc.",review,enwiki:npov:68,0.687,"In addition to describing why a subject is notable, encyclopedia articles should place the subject in context.",enwiki:npov:89,0.590,enwiki:npov:69,0.565,
dewiki:npov:53,"Labeling linguistic expressions as ""wrong"" violates the neutral point of view.",review,enwiki:npov:86,0.500,Editors should not avoid terminology established by the majority of reliable sources out of sympathy for a point of view or fear that readers may confuse formal and informal meanings.,enwiki:npov:108,0.464,enwiki:npov:24,0.455,
dewiki:npov:54,"Labels such as ""colloquial"" or ""outdated"" must not be assigned at one's own discretion but require backing by linguistic scholarly literature.",review,enwiki:npov:92,0.509,A name widely used in reliable sources and likely to be well recognized by readers may be used even if some regard it as biased.,enwiki:npov:86,0.501,enwiki:npov:55,0.458,
dewiki:npov:55,"It is advisable to first present the undisputed aspects and then, in a separate section, the reception from the perspective of relevant actors.",review,enwiki:npov:41,0.530,Editors should watch for structural or stylistic aspects that make it difficult for a reader to fairly assess the credibility of all relevant viewpoints.,enwiki:npov:40,0.507,enwiki:npov:101,0.504,
dewiki:npov:56,The reception section should encompass not only negative assessments but all relevant voices.,none,enwiki:npov:31,0.437,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,enwiki:npov:33,0.432,enwiki:npov:24,0.428,
dewiki:npov:57,Whoever cites a statistic should always add a source reference.,review,enwiki:npov:77,0.466,A biased source need not be used; excluding the material altogether may serve an article better.,enwiki:npov:55,0.452,enwiki:npov:29,0.444,
dewiki:npov:58,An article is not made more neutral by shortening the opposing viewpoint.,review,enwiki:npov:1,0.651,Articles must not take sides.,enwiki:npov:2,0.646,enwiki:npov:42,0.631,
dewiki:npov:59,"Instead, one should work toward better substantiating and elaborating the inadequately explained viewpoint.",review,enwiki:npov:49,0.518,The majority view should be explained sufficiently for the reader to understand how the minority view differs from it.,enwiki:npov:30,0.515,enwiki:npov:62,0.498,
dewiki:npov:60,Particularly vulnerable and disputed articles should be listed on the watchlist candidates page.,review,enwiki:npov:77,0.468,A biased source need not be used; excluding the material altogether may serve an article better.,enwiki:npov:2,0.466,enwiki:npov:73,0.438,
dewiki:npov:61,"As a first step, check the version history for how many people have worked on the text.",none,enwiki:npov:40,0.304,"Editors should attend to headers, footnotes, and other formatting elements that might unduly favor one point of view or aspect of the subject.",enwiki:npov:33,0.280,enwiki:npov:23,0.275,
dewiki:npov:62,Whoever knows the topic sufficiently or has sources may rewrite or expand the article.,review,enwiki:npov:2,0.535,"Articles should explain the sides, fairly and without editorial bias.",enwiki:npov:77,0.529,enwiki:npov:28,0.488,
dewiki:npov:63,Disputed articles that are hard to rewrite may be tagged with the {{Neutralität}} template.,review,enwiki:npov:37,0.498,"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",enwiki:npov:95,0.496,enwiki:npov:77,0.488,
dewiki:npov:64,"If the article is protected due to an edit war, adding the template must be requested from the administrators.",none,enwiki:npov:37,0.414,"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",enwiki:npov:54,0.380,enwiki:npov:36,0.361,
dewiki:npov:65,As a last resort a deletion request may be filed; its text must justify why a revision is impossible or unreasonable.,review,enwiki:npov:35,0.603,Editors may remove material when they have good reason to believe it misinforms or misleads readers in ways that cannot be addressed by rewriting.,enwiki:npov:32,0.427,enwiki:npov:33,0.424,
