ext_id,source_text,source_sub,cand1_id,cand1_text,cand2_id,cand2_text,cand3_id,cand3_text
dewiki:npov:1,The neutral point of view is one of the four unchangeable founding principles of Wikipedia.,Der neutrale Standpunkt ist eines der vier unveränderlichen Grundprinzipien von Wikipedia.,enwiki:npov:4,All encyclopedic content on Wikipedia must be written from a neutral point of view.,enwiki:npov:99,"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view.",enwiki:npov:57,"A viewpoint held by an extremely small minority does not belong on Wikipedia regardless of its truth or provability, except perhaps in an ancillary article."
dewiki:npov:2,The neutral point of view serves to present topics factually and keep personal viewpoints out of articles.,"Der neutrale Standpunkt soll dazu dienen, Themen sachlich darzustellen und persönliche Standpunkte aus Artikeln herauszuhalten.",enwiki:npov:5,"Writing from a neutral point of view means representing fairly, proportionately, and as far as possible without editorial bias all the significant views published by reliable sources on a topic.",enwiki:npov:42,"Neutrality requires that mainspace articles fairly represent all significant viewpoints published by reliable sources, in proportion to each viewpoint's prominence in those sources.",enwiki:npov:24,A neutral point of view neither sympathizes with nor disparages its subject or what reliable sources say about it.
dewiki:npov:3,"Articles are to be written source-based, balanced as a whole, and as objectively as possible.","Artikel sind quellenbasiert, im Gesamten ausgewogen und möglichst objektiv zu verfassen.",enwiki:npov:73,"In principle, all articles should be based on reliable, independent, secondary published sources with a reputation for fact-checking and accuracy.",enwiki:npov:71,"When writing articles, making some assumptions may be necessary to get through a topic.",enwiki:npov:77,A biased source need not be used; excluding the material altogether may serve an article better.
dewiki:npov:4,Adherence to the neutrality principle is a prerequisite for a good Wikipedia article.,Die Einhaltung des Neutralitätsprinzips ist eine Voraussetzung eines guten Wikipedia-Artikels.,enwiki:npov:42,"Neutrality requires that mainspace articles fairly represent all significant viewpoints published by reliable sources, in proportion to each viewpoint's prominence in those sources.",enwiki:npov:10,"Achieving neutrality requires carefully and critically analyzing a variety of reliable sources and conveying their information to the reader fairly, proportionately, and as far as possible without editorial bias.",enwiki:npov:99,"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view."
dewiki:npov:5,A neutral point of view describes a topic with neither a disparaging nor a sympathetic undertone.,Ein neutraler Standpunkt beschreibt eine Thematik weder mit abwertendem noch mit sympathisierendem Unterton.,enwiki:npov:24,A neutral point of view neither sympathizes with nor disparages its subject or what reliable sources say about it.,enwiki:npov:5,"Writing from a neutral point of view means representing fairly, proportionately, and as far as possible without editorial bias all the significant views published by reliable sources on a topic.",enwiki:npov:61,Neutrality assigns weight to viewpoints in proportion to their prominence in reliable sources.
dewiki:npov:6,Evaluations must be presented from an editorially neutral perspective.,Wertungen müssen aus einer redaktionell neutralen Sicht dargestellt werden.,enwiki:npov:10,"Achieving neutrality requires carefully and critically analyzing a variety of reliable sources and conveying their information to the reader fairly, proportionately, and as far as possible without editorial bias.",enwiki:npov:5,"Writing from a neutral point of view means representing fairly, proportionately, and as far as possible without editorial bias all the significant views published by reliable sources on a topic.",enwiki:npov:28,"When editorial bias toward one point of view can be detected, the article needs to be fixed."
dewiki:npov:7,"An article shall clearly describe and characterize all differing viewpoints of a topic, without endorsing, representing, or rejecting any of them.","Ein Artikel soll alle unterschiedlichen Standpunkte eines Themas klar beschreiben und charakterisieren, ohne einzelne zu befürworten, zu vertreten oder abzulehnen.",enwiki:npov:47,Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.,enwiki:npov:48,In a minority-viewpoint article it should always be clear which parts of the text describe the minority view.,enwiki:npov:46,"In articles specifically about a minority viewpoint, that view may receive more attention and space."
dewiki:npov:8,"It shall be shown, as far as possible, who holds which opinion, why they hold it, and how widespread it is.","Es soll aufgezeigt werden, wer welche Meinung vertritt, wieso er sie vertritt und wie verbreitet sie ist.",enwiki:npov:56,"If a viewpoint is held by a significant minority, it should be easy to name prominent adherents.",enwiki:npov:16,"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views.",enwiki:npov:30,Editors should indicate the relative prominence of opposing views.
dewiki:npov:9,Viewpoints that take a critical stance toward other viewpoints may also be reproduced.,"Es dürfen auch Sichtweisen wiedergegeben werden, die eine kritische Haltung zu anderen Sichtweisen einnehmen.",enwiki:npov:61,Neutrality assigns weight to viewpoints in proportion to their prominence in reliable sources.,enwiki:npov:47,Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.,enwiki:npov:30,Editors should indicate the relative prominence of opposing views.
dewiki:npov:10,"The presentation shall remain neutral and merely describe criticism, not exercise it.","Die Darstellung soll neutral bleiben und Kritik lediglich beschreiben, nicht selbst üben.",enwiki:npov:98,A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.,enwiki:npov:37,"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",enwiki:npov:22,A passage stating an uncontested fact should not be worded in a way that makes it appear to be contested.
