statement_id,wiki,page,segment_type,prominence,deontic_type,governance_class,source_quote,statement_orig,statement_en,note
dewiki:drittemeinung:1,dewiki,Wikipedia:Dritte Meinung,summary,context,definition,content,Die Dritte Meinung bietet eine kollaborative Möglichkeit der Konfliktlösung.,Die Dritte Meinung ist eine kollaborative Möglichkeit der Konfliktlösung.,The Third Opinion is a collaborative means of conflict resolution.,lead / definitional
dewiki:drittemeinung:2,dewiki,Wikipedia:Dritte Meinung,summary,context,permission,user-user,Hier kannst du Benutzer auf verfahrene inhaltliche Konflikte in Diskussionen aufmerksam machen und um weitere Sichtweisen ... bitten.,Hier kann man Benutzer auf verfahrene inhaltliche Konflikte aufmerksam machen und um weitere Sichtweisen vermittlungsfreudiger Wikipedianer bitten.,Here one may alert users to deadlocked content disputes and request further viewpoints from mediation-minded Wikipedians.,lead
dewiki:drittemeinung:3,dewiki,Wikipedia:Dritte Meinung,rule,central,prohibition,content,"Hier finden keine Diskussionen statt, sondern auf den verlinkten Diskussionsseiten.",Auf dieser Seite finden keine inhaltlichen Diskussionen statt; diese gehören auf die verlinkten Diskussionsseiten.,No discussions take place on this page; they belong on the linked talk pages.,
dewiki:drittemeinung:4,dewiki,Wikipedia:Dritte Meinung,rule,central,obligation,content,Themenbezogene Diskussionen gehören immer auf die jeweilige Diskussionsseite,"Themenbezogene Diskussionen gehören immer auf die jeweilige Diskussionsseite, wo sie später nachvollziehbar bleiben.","Topic-related discussions always belong on the respective talk page, where they remain traceable later.",
dewiki:drittemeinung:5,dewiki,Wikipedia:Dritte Meinung,rule,supporting,obligation,content,Dennoch hier erschienene Diskussionsbeiträge sollten mit entsprechendem Vermerk auf die jeweilige Diskussionsseite verschoben werden.,"Diskussionsbeiträge, die dennoch hier erscheinen, sollten mit einem entsprechenden Vermerk auf die jeweilige Diskussionsseite verschoben werden.",Discussion contributions that nonetheless appear here should be moved to the respective talk page with an appropriate note.,
dewiki:drittemeinung:6,dewiki,Wikipedia:Dritte Meinung,rule,supporting,permission,content,Kurze organisatorische Beiträge wie Hinweise auf weitere Diskussionsorte sind hingegen immer gerne gesehen.,Kurze organisatorische Beiträge wie Hinweise auf weitere Diskussionsorte sind hier hingegen erwünscht.,"Short organizational contributions, such as pointers to other discussion venues, are however welcome here.",
dewiki:drittemeinung:7,dewiki,Wikipedia:Dritte Meinung,procedure,central,obligation,content,Ein Diskussionshinweis sollte die folgenden Informationen enthalten:,Ein Diskussionshinweis sollte die folgenden Informationen enthalten.,A discussion notice should contain the following information.,intro to required-fields list
dewiki:drittemeinung:8,dewiki,Wikipedia:Dritte Meinung,procedure,central,obligation,content,Ein Verweis auf den thematisierten Artikel (ggf. mehrere).,Ein Diskussionshinweis muss einen Verweis auf den betreffenden Artikel (ggf. mehrere) enthalten.,A notice must include a reference to the article(s) concerned.,
dewiki:drittemeinung:9,dewiki,Wikipedia:Dritte Meinung,procedure,central,obligation,content,Ein Verweis zum bereits bestehenden Diskussionsabschnitt,Ein Diskussionshinweis muss einen Verweis auf den bereits bestehenden Diskussionsabschnitt enthalten.,A notice must include a reference to the already-existing discussion section.,
dewiki:drittemeinung:10,dewiki,Wikipedia:Dritte Meinung,rule,supporting,scope,content,"Die inhaltliche Diskussion findet nur dort statt, auch dritte Meinungen werden dort abgegeben.",Die inhaltliche Diskussion findet ausschließlich im verlinkten Diskussionsabschnitt statt; auch dritte Meinungen werden dort abgegeben.,The substantive discussion takes place only in the linked talk section; third opinions are also given there.,
dewiki:drittemeinung:11,dewiki,Wikipedia:Dritte Meinung,procedure,central,obligation,content,Eine sachliche und zusammenfassende Umschreibung des Konfliktes.,"Ein Diskussionshinweis muss eine sachliche, zusammenfassende Beschreibung des Konflikts enthalten.","A notice must include a factual, summarizing description of the conflict.",
dewiki:drittemeinung:12,dewiki,Wikipedia:Dritte Meinung,procedure,supporting,permission,content,"Wenn eine konkrete Änderung umstritten ist, ist ein Diff-Link auf diese hilfreich.","Wenn eine konkrete Änderung umstritten ist, ist ein Diff-Link darauf hilfreich.","If a specific edit is contested, a diff link to it is helpful.",
dewiki:drittemeinung:13,dewiki,Wikipedia:Dritte Meinung,rule,supporting,prohibition,user-user,"Bitte verwende keine Strohmann-Argumente und versuche, den Konflikt neutral wiederzugeben.",Man soll keine Strohmann-Argumente verwenden und den Konflikt neutral wiedergeben.,Do not use straw-man arguments; represent the conflict neutrally.,
