src_id,de_statement,EN1,EN1_text,EN2,EN2_text,EN3,EN3_text,verdict,prior_top1
dewiki:npov:1,The neutral point of view is one of the four unchangeable founding principles of Wikipedia.,enwiki:npov:4 (0.716),All encyclopedic content on Wikipedia must be written from a neutral point of view.,enwiki:npov:99 (0.649),"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view.",enwiki:npov:57 (0.621),"A viewpoint held by an extremely small minority does not belong on Wikipedia regardless of its truth or provability, except perhaps in an ancillary article.",1y,y
dewiki:npov:2,The neutral point of view serves to present topics factually and keep personal viewpoints out of articles.,enwiki:npov:5 (0.764),"Writing from a neutral point of view means representing fairly, proportionately, and as far as possible without editorial bias all the significant views published by reliable sources on a topic.",enwiki:npov:42 (0.679),"Neutrality requires that mainspace articles fairly represent all significant viewpoints published by reliable sources, in proportion to each viewpoint's prominence in those sources.",enwiki:npov:24 (0.671),A neutral point of view neither sympathizes with nor disparages its subject or what reliable sources say about it.,1p,p
dewiki:npov:3,"Articles are to be written source-based, balanced as a whole, and as objectively as possible.",enwiki:npov:73 (0.632),"In principle, all articles should be based on reliable, independent, secondary published sources with a reputation for fact-checking and accuracy.",enwiki:npov:71 (0.625),"When writing articles, making some assumptions may be necessary to get through a topic.",enwiki:npov:77 (0.624),A biased source need not be used; excluding the material altogether may serve an article better.,1p,p
dewiki:npov:4,Adherence to the neutrality principle is a prerequisite for a good Wikipedia article.,enwiki:npov:42 (0.671),"Neutrality requires that mainspace articles fairly represent all significant viewpoints published by reliable sources, in proportion to each viewpoint's prominence in those sources.",enwiki:npov:10 (0.644),"Achieving neutrality requires carefully and critically analyzing a variety of reliable sources and conveying their information to the reader fairly, proportionately, and as far as possible without editorial bias.",enwiki:npov:99 (0.630),"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view.",,n
dewiki:npov:5,A neutral point of view describes a topic with neither a disparaging nor a sympathetic undertone.,enwiki:npov:24 (0.779),A neutral point of view neither sympathizes with nor disparages its subject or what reliable sources say about it.,enwiki:npov:5 (0.666),"Writing from a neutral point of view means representing fairly, proportionately, and as far as possible without editorial bias all the significant views published by reliable sources on a topic.",enwiki:npov:61 (0.560),Neutrality assigns weight to viewpoints in proportion to their prominence in reliable sources.,1y,y
dewiki:npov:6,Evaluations must be presented from an editorially neutral perspective.,enwiki:npov:10 (0.579),"Achieving neutrality requires carefully and critically analyzing a variety of reliable sources and conveying their information to the reader fairly, proportionately, and as far as possible without editorial bias.",enwiki:npov:5 (0.578),"Writing from a neutral point of view means representing fairly, proportionately, and as far as possible without editorial bias all the significant views published by reliable sources on a topic.",enwiki:npov:28 (0.556),"When editorial bias toward one point of view can be detected, the article needs to be fixed.",,n
dewiki:npov:7,"An article shall clearly describe and characterize all differing viewpoints of a topic, without endorsing, representing, or rejecting any of them.",enwiki:npov:47 (0.670),Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.,enwiki:npov:48 (0.648),In a minority-viewpoint article it should always be clear which parts of the text describe the minority view.,enwiki:npov:46 (0.597),"In articles specifically about a minority viewpoint, that view may receive more attention and space.",,n
dewiki:npov:8,"It shall be shown, as far as possible, who holds which opinion, why they hold it, and how widespread it is.",enwiki:npov:56 (0.537),"If a viewpoint is held by a significant minority, it should be easy to name prominent adherents.",enwiki:npov:16 (0.509),"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views.",enwiki:npov:30 (0.495),Editors should indicate the relative prominence of opposing views.,,n
dewiki:npov:9,Viewpoints that take a critical stance toward other viewpoints may also be reproduced.,enwiki:npov:61 (0.592),Neutrality assigns weight to viewpoints in proportion to their prominence in reliable sources.,enwiki:npov:47 (0.590),Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.,enwiki:npov:30 (0.581),Editors should indicate the relative prominence of opposing views.,,n
dewiki:npov:10,"The presentation shall remain neutral and merely describe criticism, not exercise it.",enwiki:npov:98 (0.545),A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.,enwiki:npov:37 (0.493),"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",enwiki:npov:22 (0.475),A passage stating an uncontested fact should not be worded in a way that makes it appear to be contested.,1p,p
