statement_id,wiki,page,segment_type,prominence,deontic_type,governance_class,source_quote,statement_orig,statement_en,note
enwiki:npov:1,enwiki,Wikipedia:Neutral point of view,summary,context,prohibition,content,Articles must not take sides,Articles must not take sides.,Articles must not take sides.,nutshell
enwiki:npov:2,enwiki,Wikipedia:Neutral point of view,summary,context,obligation,content,"but should explain the sides, fairly and without editorial bias","Articles should explain the sides, fairly and without editorial bias.","Articles should explain the sides, fairly and without editorial bias.",nutshell
enwiki:npov:3,enwiki,Wikipedia:Neutral point of view,summary,context,scope,content,This applies to both what you say and how you say it,The neutrality requirement applies both to what is said and to how it is said.,The neutrality requirement applies both to what is said and to how it is said.,nutshell
enwiki:npov:4,enwiki,Wikipedia:Neutral point of view,rule,central,obligation,content,All encyclopedic content on Wikipedia must be written from a neutral point of view (NPOV),All encyclopedic content on Wikipedia must be written from a neutral point of view.,All encyclopedic content on Wikipedia must be written from a neutral point of view.,lead principle
enwiki:npov:5,enwiki,Wikipedia:Neutral point of view,rule,central,definition,content,"representing fairly, proportionately, and, as far as possible, without editorial bias, all the significant views that have been published by reliable sources on a topic","Writing from a neutral point of view means representing fairly, proportionately, and as far as possible without editorial bias all the significant views published by reliable sources on a topic.","Writing from a neutral point of view means representing fairly, proportionately, and as far as possible without editorial bias all the significant views published by reliable sources on a topic.",definition of NPOV
enwiki:npov:6,enwiki,Wikipedia:Neutral point of view,meta,context,principle,content,NPOV is a fundamental principle of Wikipedia and of other Wikimedia projects,NPOV is a fundamental principle of Wikipedia and of other Wikimedia projects.,NPOV is a fundamental principle of Wikipedia and of other Wikimedia projects.,framing
enwiki:npov:7,enwiki,Wikipedia:Neutral point of view,meta,context,principle,content,"It is also one of Wikipedia's three core content policies; the other two are ""Verifiability"" and ""No original research""","NPOV is one of Wikipedia's three core content policies, alongside Verifiability and No original research.","NPOV is one of Wikipedia's three core content policies, alongside Verifiability and No original research.",framing
enwiki:npov:8,enwiki,Wikipedia:Neutral point of view,meta,context,principle,content,"because they work in harmony, they cannot be interpreted in isolation from one another",The three core content policies cannot be interpreted in isolation from one another.,The three core content policies cannot be interpreted in isolation from one another.,framing
enwiki:npov:9,enwiki,Wikipedia:Neutral point of view,rule,central,principle,content,"This policy is non-negotiable, and the principles upon which it is based cannot be superseded by other policies or guidelines, nor by editor consensus","The NPOV policy is non-negotiable and cannot be superseded by other policies, guidelines, or editor consensus.","The NPOV policy is non-negotiable and cannot be superseded by other policies, guidelines, or editor consensus.",supremacy clause
enwiki:npov:10,enwiki,Wikipedia:Neutral point of view,rule,central,obligation,content,"carefully and critically analyzing a variety of reliable sources and then attempting to convey to the reader the information contained in them fairly, proportionately, and as far as possible without editorial bias","Achieving neutrality requires carefully and critically analyzing a variety of reliable sources and conveying their information to the reader fairly, proportionately, and as far as possible without editorial bias.","Achieving neutrality requires carefully and critically analyzing a variety of reliable sources and conveying their information to the reader fairly, proportionately, and as far as possible without editorial bias.",
enwiki:npov:11,enwiki,Wikipedia:Neutral point of view,principle,context,principle,content,"Wikipedia aims to describe disputes, but not engage in them","Wikipedia aims to describe disputes, not engage in them.","Wikipedia aims to describe disputes, not engage in them.",
enwiki:npov:12,enwiki,Wikipedia:Neutral point of view,principle,context,principle,content,"The aim is to inform, not influence","The aim of a Wikipedia article is to inform, not to influence.","The aim of a Wikipedia article is to inform, not to influence.",
enwiki:npov:13,enwiki,Wikipedia:Neutral point of view,rule,central,obligation,content,"Editors, while naturally having their own points of view, should strive in good faith to provide complete information and not to promote one particular point of view over another",Editors should strive in good faith to provide complete information and not to promote one particular point of view over another.,Editors should strive in good faith to provide complete information and not to promote one particular point of view over another.,
enwiki:npov:14,enwiki,Wikipedia:Neutral point of view,rule,central,definition,content,"The neutral point of view does not mean the exclusion of certain points of view; rather, it means including all verifiable points of view which have sufficient due weight",NPOV does not mean excluding points of view; it means including all verifiable points of view that have sufficient due weight.,NPOV does not mean excluding points of view; it means including all verifiable points of view that have sufficient due weight.,clarifies scope of NPOV
