src_id,de_statement,en_best_match,score,equivalent?
dewiki:npov:1,The neutral point of view is one of the four unchangeable founding principles of Wikipedia.,All encyclopedic content on Wikipedia must be written from a neutral point of view.,0.716,y
dewiki:npov:2,The neutral point of view serves to present topics factually and keep personal viewpoints out of articles.,"Writing from a neutral point of view means representing fairly, proportionately, and as far as possible without editorial bias all the significant views published by reliable sources on a topic.",0.764,p
dewiki:npov:3,"Articles are to be written source-based, balanced as a whole, and as objectively as possible.","In principle, all articles should be based on reliable, independent, secondary published sources with a reputation for fact-checking and accuracy.",0.632,p
dewiki:npov:4,Adherence to the neutrality principle is a prerequisite for a good Wikipedia article.,"Neutrality requires that mainspace articles fairly represent all significant viewpoints published by reliable sources, in proportion to each viewpoint's prominence in those sources.",0.671,n
dewiki:npov:5,A neutral point of view describes a topic with neither a disparaging nor a sympathetic undertone.,A neutral point of view neither sympathizes with nor disparages its subject or what reliable sources say about it.,0.779,y
dewiki:npov:6,Evaluations must be presented from an editorially neutral perspective.,"Achieving neutrality requires carefully and critically analyzing a variety of reliable sources and conveying their information to the reader fairly, proportionately, and as far as possible without editorial bias.",0.579,n
dewiki:npov:7,"An article shall clearly describe and characterize all differing viewpoints of a topic, without endorsing, representing, or rejecting any of them.",Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.,0.67,n
dewiki:npov:8,"It shall be shown, as far as possible, who holds which opinion, why they hold it, and how widespread it is.","If a viewpoint is held by a significant minority, it should be easy to name prominent adherents.",0.537,n
dewiki:npov:9,Viewpoints that take a critical stance toward other viewpoints may also be reproduced.,Neutrality assigns weight to viewpoints in proportion to their prominence in reliable sources.,0.592,n
dewiki:npov:10,"The presentation shall remain neutral and merely describe criticism, not exercise it.",A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.,0.545,p
dewiki:npov:11,All presented viewpoints must be attributable to a reliable source.,"If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts.",0.602,p
dewiki:npov:12,The views of the majority must be presented appropriately.,The majority view should be explained sufficiently for the reader to understand how the minority view differs from it.,0.732,p
dewiki:npov:13,"The opinions of minorities must be given a voice, provided a reliable source can be found for them.",Controversies regarding aspects of a minority view should be clearly identified and explained.,0.534,n
dewiki:npov:14,The description shall have a neutral tone.,"Instead of removing biased-seeming sourced material, editors should try to rewrite the passage or section to achieve a more neutral tone.",0.488,n
dewiki:npov:15,The share of each viewpoint in the overall extent shall reflect its respective relevance.,"In articles specifically about a minority viewpoint, that view may receive more attention and space.",0.58,p
dewiki:npov:16,Text should not be removed merely because it presents a dissenting opinion.,"Instead of removing biased-seeming sourced material, editors should try to rewrite the passage or section to achieve a more neutral tone.",0.594,p
dewiki:npov:17,"Text should, where applicable, be shortened or moved to a sub-article if an opinion would otherwise be given disproportionate weight.",An article should not give undue weight to minor aspects of its subject but should treat each aspect with weight proportional to its treatment in reliable published material.,0.637,n
dewiki:npov:18,Neutrality requires that viewpoints be presented in an unbiased manner.,Neutrality assigns weight to viewpoints in proportion to their prominence in reliable sources.,0.823,n
dewiki:npov:19,"It shall be made clear that disagreements exist, rather than pretending the sources are unbiased.","Neutrality should be achieved by balancing source bias according to the weight of opinion in reliable sources, not by excluding sources that do not conform to the editor's point of view.",0.62,n
dewiki:npov:20,The factual basis of articles fundamentally derives from published information sources.,"In principle, all articles should be based on reliable, independent, secondary published sources with a reputation for fact-checking and accuracy.",0.657,p
dewiki:npov:21,Presentations or viewpoints for which no reliable source exists constitute unwanted original research.,"Minority views, fringe theories, and extraordinary claims need not be presented alongside mainstream scholarship as if they were of equal validity.",0.506,n
dewiki:npov:22,A balanced article describes the subject of the entry and subsequently the differing viewpoints connected to it.,Working for balance involves describing opposing views clearly and drawing on secondary or tertiary sources that describe the disagreement from a disinterested viewpoint.,0.658,p
dewiki:npov:23,Several different or contradictory viewpoints may be described in one article.,In a minority-viewpoint article it should always be clear which parts of the text describe the minority view.,0.603,n
dewiki:npov:24,The acceptance of the various presentations shall be clearly indicated.,"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",0.381,n
dewiki:npov:25,Appropriate presentation of the subject and arguments takes precedence over the aim of giving competing viewpoints equal extent.,A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.,0.618,n
dewiki:npov:26,"Ideally, all known viewpoints currently held by relevant social groups, organizations, and authoritative scholars of a field are to be mentioned.","If a viewpoint is in the majority, it should be easy to substantiate with references to commonly accepted reference texts.",0.659,n
dewiki:npov:27,Scientific findings must not be relativized by the mere juxtaposition of different opinions.,"When covering pseudoscientific topics, editors should not describe pseudoscience and scientific consensus as equal viewpoints.",0.624,y
dewiki:npov:28,"An encyclopedic article is to be written in a consistently factual-neutral, i.e. non-emotionally-colored, tone.",All encyclopedic content on Wikipedia must be written from a neutral point of view.,0.677,p
dewiki:npov:29,An encyclopedic article refrains from taking a position for or against viewpoints.,"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view.",0.604,y
dewiki:npov:30,"Viewpoints must be presented neither with undue emphasis, nor apodictically, nor with evasive phrasing.",A neutral point of view neither sympathizes with nor disparages its subject or what reliable sources say about it.,0.613,
dewiki:npov:31,Personal interests must never determine the content of articles.,Articles should not give minority views or aspects as much or as detailed a description as more widely held views.,0.554,
dewiki:npov:32,"Authors shall always act value-free and without partiality (""sine ira et studio"").",Editors must not editorialize.,0.463,
dewiki:npov:33,Obvious facts may be presented as such in articles.,"All facts and significant points of view on a subject should be treated in one article, except in the case of a legitimate spinoff sub-article.",0.59,
dewiki:npov:34,Value judgments must in every case be separated from generally accepted facts and marked as such.,A neutral characterization of disputes requires presenting viewpoints with a consistently impartial tone.,0.47,
dewiki:npov:35,Value judgments must be strictly attributed to the person making them.,Opinions presented with attribution must still be verifiable and appropriately cited.,0.485,
dewiki:npov:36,Wikipedia authors shall never make value judgments themselves.,"The tone of Wikipedia articles should be impartial, neither endorsing nor rejecting a particular point of view.",0.66,
dewiki:npov:37,Especially for controversial topics it is important to attribute viewpoints.,Minority-viewpoint articles must still appropriately reference the majority viewpoint wherever relevant and must not present content strictly from the minority view's perspective.,0.604,
dewiki:npov:38,Particularly pointed opinions may be quoted verbatim.,"Significant opinions should not be stated in Wikipedia's voice but should be attributed in the text to particular sources, or where justified described as widespread views.",0.602,
dewiki:npov:39,Opinions are to be reproduced exactly and placed into their respective context.,Opinions presented with attribution must still be verifiable and appropriately cited.,0.569,
dewiki:npov:40,All authoritative viewpoints must be represented; no hidden value judgment through selection or weighting of individual viewpoints.,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,0.596,
dewiki:npov:41,Significant evaluations must be presented in a balanced manner.,Reporting of different views must adequately reflect their relative levels of support and must not give a false impression of parity or undue weight to a particular view.,0.505,
dewiki:npov:42,No (implicit) evaluation may be made through word choice.,The preference for nonjudgmental language must sometimes be balanced against clarity.,0.414,
dewiki:npov:43,"Authors should not, in the style of an essay, argumentatively lay out their own viewpoint.",Editors should watch for structural or stylistic aspects that make it difficult for a reader to fairly assess the credibility of all relevant viewpoints.,0.532,
dewiki:npov:44,Separating arguments into pro/con lists is not a suitable form of presentation.,"Editors should avoid quoting directly from participants in a heated dispute and instead summarize and present the arguments in an impartial, formal tone.",0.401,
dewiki:npov:45,"Self-promotion by authorities, institutions, parties, companies, persons, etc. aimed merely at external image is expressly unwanted.","The aim of a Wikipedia article is to inform, not to influence.",0.325,
dewiki:npov:46,"Likewise unwanted are presentations aimed at damaging third parties' reputations through false claims, rumors, speculation, or distorting quote selection.","Editors should strive to eliminate expressions that are flattering, disparaging, vague, clichéd, or that endorse a particular point of view, unless part of a quote from a noteworthy source.",0.506,
dewiki:npov:47,Such behavior can be sanctioned with a block.,"Specific article structures are not as a rule prohibited, but care must be taken to ensure the overall presentation is broadly neutral.",0.356,
dewiki:npov:48,A dissenting stance held by only a few must not be presented at the same extent as established positions.,Views held by a tiny minority should not be represented except in articles devoted to those views.,0.563,
dewiki:npov:49,"When minority opinions have historical weight through frequent public discussion, they are to be mentioned to an appropriate extent.",Controversies regarding aspects of a minority view should be clearly identified and explained.,0.639,
dewiki:npov:50,Even a single word can destroy factuality and turn a sentence into a tendentious statement.,"Editors should try to state facts simply, without using loaded words that imply doubt.",0.524,
dewiki:npov:51,"Relative words like ""well-known"", ""famous"", ""significant"" should be used comprehensibly and purposefully, not promotionally or as filler.",A name widely used in reliable sources and likely to be well recognized by readers may be used even if some regard it as biased.,0.477,
dewiki:npov:52,"The article should make clear for what and among which audience the subject is well-known, famous, significant, etc.","In addition to describing why a subject is notable, encyclopedia articles should place the subject in context.",0.687,
dewiki:npov:53,"Labeling linguistic expressions as ""wrong"" violates the neutral point of view.",Editors should not avoid terminology established by the majority of reliable sources out of sympathy for a point of view or fear that readers may confuse formal and informal meanings.,0.5,
dewiki:npov:54,"Labels such as ""colloquial"" or ""outdated"" must not be assigned at one's own discretion but require backing by linguistic scholarly literature.",A name widely used in reliable sources and likely to be well recognized by readers may be used even if some regard it as biased.,0.509,
dewiki:npov:55,"It is advisable to first present the undisputed aspects and then, in a separate section, the reception from the perspective of relevant actors.",Editors should watch for structural or stylistic aspects that make it difficult for a reader to fairly assess the credibility of all relevant viewpoints.,0.53,
